(pytorch) ubuntu@ip-172-31-52-9:~/chronos-forecasting-oracle/scripts$ CUDA_VISIBLE_DEVICES=0 python training/train.py --config /home/ubuntu/chronos-forecasting-oracle/scripts/training/configs/chronos-tiny-336-48-8_000-delta.yaml
2024-07-29 16:27:09,292 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - TF32 format is only available on devices with compute capability >= 8. Setting tf32 to False.
2024-07-29 16:27:09,293 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Using SEED: 2106911815
2024-07-29 16:27:09,583 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Logging dir: output/run-1
2024-07-29 16:27:09,583 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Loading and filtering 1 datasets for training: ['/home/ubuntu/chronos-forecasting-oracle/data/agile_octopus_london_delta_2_weeks.arrow']
2024-07-29 16:27:09,583 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Mixing probabilities: [1.0]
2024-07-29 16:27:09,590 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Initializing model
2024-07-29 16:27:09,590 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Using random initialization
config.json: 100%|█████████████████████████████████████████████████████████████████████████████████████████| 628/628 [00:00<00:00, 4.82MB/s]
The speedups for torchdynamo mostly come wih GPU Ampere or higher and which is not detected here.
max_steps is given, it will override any value given in num_train_epochs
2024-07-29 16:27:13,601 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Training
{'loss': 8.2566, 'grad_norm': 0.09138026088476181, 'learning_rate': 0.00099375, 'epoch': 0.01}                                              
{'loss': 1.1279, 'grad_norm': 0.4853931665420532, 'learning_rate': 0.0007062500000000001, 'epoch': 0.29}                                    
{'loss': 1.0991, 'grad_norm': 0.4693106412887573, 'learning_rate': 0.0007, 'epoch': 0.3}                                                    
{'loss': 1.0563, 'grad_norm': 0.5733974575996399, 'learning_rate': 0.00069375, 'epoch': 0.31}                                               
{'loss': 1.0504, 'grad_norm': 0.5665836334228516, 'learning_rate': 0.0006875, 'epoch': 0.31}                                                
{'loss': 1.0001, 'grad_norm': 0.4826086461544037, 'learning_rate': 0.00068125, 'epoch': 0.32}                                               
{'loss': 0.992, 'grad_norm': 0.5402833819389343, 'learning_rate': 0.000675, 'epoch': 0.33}                                                  
{'loss': 0.9549, 'grad_norm': 0.5108634233474731, 'learning_rate': 0.00066875, 'epoch': 0.33}                                               
{'loss': 0.9347, 'grad_norm': 0.516171932220459, 'learning_rate': 0.0006625, 'epoch': 0.34}                                                 
{'loss': 0.9195, 'grad_norm': 0.5127296447753906, 'learning_rate': 0.00065625, 'epoch': 0.34}                                               
{'loss': 0.8932, 'grad_norm': 0.5323069095611572, 'learning_rate': 0.0006500000000000001, 'epoch': 0.35}                                    
{'loss': 0.8675, 'grad_norm': 0.5344483256340027, 'learning_rate': 0.00064375, 'epoch': 0.36}                                               
{'loss': 0.8533, 'grad_norm': 0.5730578899383545, 'learning_rate': 0.0006374999999999999, 'epoch': 0.36}                                    
{'loss': 0.8593, 'grad_norm': 0.5695546269416809, 'learning_rate': 0.00063125, 'epoch': 0.37}                                               
{'loss': 0.8586, 'grad_norm': 0.5833132863044739, 'learning_rate': 0.000625, 'epoch': 0.38}                                                 
{'loss': 0.825, 'grad_norm': 0.44841888546943665, 'learning_rate': 0.00061875, 'epoch': 0.38}                                               
{'loss': 0.8022, 'grad_norm': 0.5473711490631104, 'learning_rate': 0.0006125000000000001, 'epoch': 0.39}                                    
{'loss': 0.8071, 'grad_norm': 0.48151537775993347, 'learning_rate': 0.00060625, 'epoch': 0.39}                                              
{'loss': 0.7713, 'grad_norm': 0.5261352062225342, 'learning_rate': 0.0006, 'epoch': 0.4}                                                    
{'loss': 0.7939, 'grad_norm': 0.5495267510414124, 'learning_rate': 0.00059375, 'epoch': 0.41}                                               
{'loss': 0.7878, 'grad_norm': 0.5137873888015747, 'learning_rate': 0.0005875, 'epoch': 0.41}                                                
{'loss': 0.7643, 'grad_norm': 0.5995345115661621, 'learning_rate': 0.0005812500000000001, 'epoch': 0.42}                                    
{'loss': 0.7428, 'grad_norm': 0.4326428771018982, 'learning_rate': 0.000575, 'epoch': 0.42}                                                 
{'loss': 0.7381, 'grad_norm': 0.5645071864128113, 'learning_rate': 0.00056875, 'epoch': 0.43}                                               
{'loss': 0.7168, 'grad_norm': 0.5582985281944275, 'learning_rate': 0.0005625000000000001, 'epoch': 0.44}                                    
{'loss': 0.7127, 'grad_norm': 0.571625828742981, 'learning_rate': 0.00055625, 'epoch': 0.44}                                                
{'loss': 0.7208, 'grad_norm': 0.4788382649421692, 'learning_rate': 0.00055, 'epoch': 0.45}                                                  
{'loss': 0.7161, 'grad_norm': 0.47980546951293945, 'learning_rate': 0.00054375, 'epoch': 0.46}                                              
{'loss': 0.7042, 'grad_norm': 0.5029617547988892, 'learning_rate': 0.0005375, 'epoch': 0.46}                                                
{'loss': 0.6969, 'grad_norm': 0.5133692622184753, 'learning_rate': 0.00053125, 'epoch': 0.47}                                               
{'loss': 0.678, 'grad_norm': 0.4697028398513794, 'learning_rate': 0.0005250000000000001, 'epoch': 0.47}                                     
{'loss': 0.6833, 'grad_norm': 0.5060036778450012, 'learning_rate': 0.00051875, 'epoch': 0.48}                                               
{'loss': 0.6734, 'grad_norm': 0.5504651665687561, 'learning_rate': 0.0005124999999999999, 'epoch': 0.49}                                    
{'loss': 0.6485, 'grad_norm': 0.5215206742286682, 'learning_rate': 0.00050625, 'epoch': 0.49}                                               
{'loss': 0.6474, 'grad_norm': 0.4395342767238617, 'learning_rate': 0.0005, 'epoch': 0.5}                                                    
{'loss': 0.6318, 'grad_norm': 0.5238016843795776, 'learning_rate': 0.00049375, 'epoch': 0.51}                                               
{'loss': 0.6468, 'grad_norm': 0.4932413101196289, 'learning_rate': 0.0004875, 'epoch': 0.51}                                                
{'loss': 0.6339, 'grad_norm': 0.5740647315979004, 'learning_rate': 0.00048125, 'epoch': 0.52}                                               
{'loss': 0.6246, 'grad_norm': 0.5526608228683472, 'learning_rate': 0.000475, 'epoch': 0.53}                                                 
{'loss': 0.6177, 'grad_norm': 0.4914757013320923, 'learning_rate': 0.00046875, 'epoch': 0.53}                                               
{'loss': 0.6235, 'grad_norm': 0.49079564213752747, 'learning_rate': 0.0004625, 'epoch': 0.54}                                               
{'loss': 0.6161, 'grad_norm': 0.45126286149024963, 'learning_rate': 0.00045625, 'epoch': 0.54}                                              
{'loss': 0.6117, 'grad_norm': 0.5417893528938293, 'learning_rate': 0.00045000000000000004, 'epoch': 0.55}                                   
{'loss': 0.598, 'grad_norm': 0.514960765838623, 'learning_rate': 0.00044374999999999997, 'epoch': 0.56}                                     
{'loss': 0.5803, 'grad_norm': 0.45252537727355957, 'learning_rate': 0.0004375, 'epoch': 0.56}                                               
{'loss': 0.5893, 'grad_norm': 0.4638924300670624, 'learning_rate': 0.00043125000000000005, 'epoch': 0.57}                                   
{'loss': 0.5977, 'grad_norm': 0.4701768457889557, 'learning_rate': 0.000425, 'epoch': 0.57}                                                 
{'loss': 0.583, 'grad_norm': 0.48235002160072327, 'learning_rate': 0.00041875, 'epoch': 0.58}                                               
{'loss': 0.5752, 'grad_norm': 0.5345332622528076, 'learning_rate': 0.0004125, 'epoch': 0.59}                                                
{'loss': 0.5694, 'grad_norm': 0.5302050709724426, 'learning_rate': 0.00040625000000000004, 'epoch': 0.59}                                   
{'loss': 0.5752, 'grad_norm': 0.564433217048645, 'learning_rate': 0.0004, 'epoch': 0.6}                                                     
{'loss': 0.5696, 'grad_norm': 0.42517438530921936, 'learning_rate': 0.00039375, 'epoch': 0.61}                                              
{'loss': 0.5629, 'grad_norm': 0.45996400713920593, 'learning_rate': 0.00038750000000000004, 'epoch': 0.61}                                  
{'loss': 0.5667, 'grad_norm': 0.5254092216491699, 'learning_rate': 0.00038124999999999997, 'epoch': 0.62}                                   
{'loss': 0.5614, 'grad_norm': 0.49533724784851074, 'learning_rate': 0.000375, 'epoch': 0.62}                                                
{'loss': 0.5572, 'grad_norm': 0.5072392225265503, 'learning_rate': 0.00036875000000000005, 'epoch': 0.63}                                   
{'loss': 0.5483, 'grad_norm': 0.5831846594810486, 'learning_rate': 0.0003625, 'epoch': 0.64}                                                
{'loss': 0.5464, 'grad_norm': 0.49284628033638, 'learning_rate': 0.00035625, 'epoch': 0.64}                                                 
{'loss': 0.5428, 'grad_norm': 0.5558651685714722, 'learning_rate': 0.00035, 'epoch': 0.65}                                                  
{'loss': 0.5412, 'grad_norm': 0.4919450879096985, 'learning_rate': 0.00034375, 'epoch': 0.66}                                               
{'loss': 0.5381, 'grad_norm': 0.4379483759403229, 'learning_rate': 0.0003375, 'epoch': 0.66}                                                
{'loss': 0.5331, 'grad_norm': 0.450602263212204, 'learning_rate': 0.00033125, 'epoch': 0.67}                                                
{'loss': 0.5259, 'grad_norm': 0.4578781723976135, 'learning_rate': 0.00032500000000000004, 'epoch': 0.68}                                   
{'loss': 0.5277, 'grad_norm': 0.4602717459201813, 'learning_rate': 0.00031874999999999997, 'epoch': 0.68}                                   
{'loss': 0.5254, 'grad_norm': 0.5472188591957092, 'learning_rate': 0.0003125, 'epoch': 0.69}                                                
{'loss': 0.5118, 'grad_norm': 0.49781399965286255, 'learning_rate': 0.00030625000000000004, 'epoch': 0.69}                                  
{'loss': 0.5093, 'grad_norm': 0.49318966269493103, 'learning_rate': 0.0003, 'epoch': 0.7}                                                   
{'loss': 0.5113, 'grad_norm': 0.5392953753471375, 'learning_rate': 0.00029375, 'epoch': 0.71}                                               
{'loss': 0.5209, 'grad_norm': 0.47373685240745544, 'learning_rate': 0.0002875, 'epoch': 0.71}                                               
{'loss': 0.5067, 'grad_norm': 0.4448090195655823, 'learning_rate': 0.00028125000000000003, 'epoch': 0.72}                                   
{'loss': 0.5068, 'grad_norm': 0.5242007970809937, 'learning_rate': 0.000275, 'epoch': 0.72}                                                 
{'loss': 0.5021, 'grad_norm': 0.5131837725639343, 'learning_rate': 0.00026875, 'epoch': 0.73}                                               
{'loss': 0.5076, 'grad_norm': 0.4672846496105194, 'learning_rate': 0.00026250000000000004, 'epoch': 0.74}                                   
{'loss': 0.4891, 'grad_norm': 0.484822541475296, 'learning_rate': 0.00025624999999999997, 'epoch': 0.74}                                    
{'loss': 0.4953, 'grad_norm': 0.4751214385032654, 'learning_rate': 0.00025, 'epoch': 0.75}                                                  
{'loss': 0.4812, 'grad_norm': 0.47783416509628296, 'learning_rate': 0.00024375, 'epoch': 0.76}                                              
{'loss': 0.4955, 'grad_norm': 0.45274636149406433, 'learning_rate': 0.0002375, 'epoch': 0.76}                                               
{'loss': 0.5042, 'grad_norm': 0.4765014946460724, 'learning_rate': 0.00023125, 'epoch': 0.77}                                               
{'loss': 0.4889, 'grad_norm': 0.4740368127822876, 'learning_rate': 0.00022500000000000002, 'epoch': 0.78}                                   
{'loss': 0.4801, 'grad_norm': 0.42266300320625305, 'learning_rate': 0.00021875, 'epoch': 0.78}                                              
{'loss': 0.486, 'grad_norm': 0.4833368957042694, 'learning_rate': 0.0002125, 'epoch': 0.79}                                                 
{'loss': 0.4928, 'grad_norm': 0.4829051196575165, 'learning_rate': 0.00020625, 'epoch': 0.79}                                               
{'loss': 0.4799, 'grad_norm': 0.43653762340545654, 'learning_rate': 0.0002, 'epoch': 0.8}                                                   
{'loss': 0.4667, 'grad_norm': 0.48484107851982117, 'learning_rate': 0.00019375000000000002, 'epoch': 0.81}                                  
{'loss': 0.4748, 'grad_norm': 0.51183021068573, 'learning_rate': 0.0001875, 'epoch': 0.81}                                                  
{'loss': 0.4788, 'grad_norm': 0.48726844787597656, 'learning_rate': 0.00018125, 'epoch': 0.82}                                              
{'loss': 0.492, 'grad_norm': 0.44415244460105896, 'learning_rate': 0.000175, 'epoch': 0.82}                                                 
{'loss': 0.4695, 'grad_norm': 0.5563720464706421, 'learning_rate': 0.00016875, 'epoch': 0.83}                                               
{'loss': 0.4707, 'grad_norm': 0.4708487391471863, 'learning_rate': 0.00016250000000000002, 'epoch': 0.84}                                   
{'loss': 0.4771, 'grad_norm': 0.5366974472999573, 'learning_rate': 0.00015625, 'epoch': 0.84}                                               
{'loss': 0.4596, 'grad_norm': 0.47228145599365234, 'learning_rate': 0.00015, 'epoch': 0.85}                                                 
{'loss': 0.4669, 'grad_norm': 0.4661673307418823, 'learning_rate': 0.00014375, 'epoch': 0.86}                                               
{'loss': 0.4533, 'grad_norm': 0.5515367388725281, 'learning_rate': 0.0001375, 'epoch': 0.86}                                                
{'loss': 0.4627, 'grad_norm': 0.5223977565765381, 'learning_rate': 0.00013125000000000002, 'epoch': 0.87}                                   
{'loss': 0.4594, 'grad_norm': 0.5154381394386292, 'learning_rate': 0.000125, 'epoch': 0.88}                                                 
{'loss': 0.4546, 'grad_norm': 0.47438865900039673, 'learning_rate': 0.00011875, 'epoch': 0.88}                                              
{'loss': 0.4516, 'grad_norm': 0.38153964281082153, 'learning_rate': 0.00011250000000000001, 'epoch': 0.89}                                  
{'loss': 0.4553, 'grad_norm': 0.5150548815727234, 'learning_rate': 0.00010625, 'epoch': 0.89}                                               
{'loss': 0.4543, 'grad_norm': 0.44955796003341675, 'learning_rate': 0.0001, 'epoch': 0.9}                                                   
{'loss': 0.4524, 'grad_norm': 0.4588155746459961, 'learning_rate': 9.375e-05, 'epoch': 0.91}                                                
{'loss': 0.4538, 'grad_norm': 0.46222084760665894, 'learning_rate': 8.75e-05, 'epoch': 0.91}                                                
{'loss': 0.4534, 'grad_norm': 0.4812488555908203, 'learning_rate': 8.125000000000001e-05, 'epoch': 0.92}                                    
{'loss': 0.4499, 'grad_norm': 0.48555850982666016, 'learning_rate': 7.5e-05, 'epoch': 0.93}                                                 
{'loss': 0.4535, 'grad_norm': 0.4367406368255615, 'learning_rate': 6.875e-05, 'epoch': 0.93}                                                
{'loss': 0.4652, 'grad_norm': 0.6013380289077759, 'learning_rate': 6.25e-05, 'epoch': 0.94}                                                 
{'loss': 0.4429, 'grad_norm': 0.4405815005302429, 'learning_rate': 5.6250000000000005e-05, 'epoch': 0.94}                                   
{'loss': 0.4572, 'grad_norm': 0.4540969133377075, 'learning_rate': 5e-05, 'epoch': 0.95}                                                    
{'loss': 0.4642, 'grad_norm': 0.4147326648235321, 'learning_rate': 4.375e-05, 'epoch': 0.96}                                                
{'loss': 0.4441, 'grad_norm': 0.3804045617580414, 'learning_rate': 3.75e-05, 'epoch': 0.96}                                                 
{'loss': 0.4518, 'grad_norm': 0.4947057068347931, 'learning_rate': 3.125e-05, 'epoch': 0.97}                                                
{'loss': 0.4344, 'grad_norm': 0.41308528184890747, 'learning_rate': 2.5e-05, 'epoch': 0.97}                                                 
{'loss': 0.4461, 'grad_norm': 0.49078118801116943, 'learning_rate': 1.875e-05, 'epoch': 0.98}                                               
{'loss': 0.4437, 'grad_norm': 0.43091511726379395, 'learning_rate': 1.25e-05, 'epoch': 0.99}                                                
{'loss': 0.4475, 'grad_norm': 0.45159676671028137, 'learning_rate': 6.25e-06, 'epoch': 0.99}                                                
{'loss': 0.4527, 'grad_norm': 0.5321882963180542, 'learning_rate': 0.0, 'epoch': 1.0}                                                       
{'train_runtime': 1217.8103, 'train_samples_per_second': 210.213, 'train_steps_per_second': 6.569, 'train_loss': 1.450222240447998, 'epoch': 1.0}
